Date, Open_FBMKLCI, High_FBMKLCI, Low_FBMKLCI, Close_FBMKLCI
03/22/21,1616.73,1616.73,1616.73,1616.73
03/19/21,1626.19,1626.19,1626.19,1626.19
03/18/21,1627.99,1627.99,1627.99,1627.99
03/17/21,1624.97,1624.97,1624.97,1624.97
03/16/21,1623.96,1623.96,1623.96,1623.96
03/15/21,1620.92,1620.92,1620.92,1620.92
3/12/2021,1615.69,1615.69,1615.69,1615.69
3/11/2021,1629.41,1629.41,1629.41,1629.41
3/10/2021,1639.83,1639.83,1639.83,1639.83
3/9/2021,1624.78,1624.78,1624.78,1624.78
3/8/2021,1611.81,1611.81,1611.81,1611.81
3/5/2021,1600.12,1600.12,1600.12,1600.12
3/4/2021,1581.26,1581.26,1581.26,1581.26
3/3/2021,1588.45,1588.45,1588.45,1588.45
3/2/2021,1569.87,1569.87,1569.87,1569.87
3/1/2021,1567.14,1567.14,1567.14,1567.14
02/26/21,1577.75,1577.75,1577.75,1577.75
02/25/21,1581.54,1581.54,1581.54,1581.54
02/24/21,1557.55,1557.55,1557.55,1557.55
02/23/21,1565.05,1565.05,1565.05,1565.05
02/22/21,1570.46,1570.46,1570.46,1570.46
02/19/21,1584.93,1584.93,1584.93,1584.93
02/18/21,1575.84,1575.84,1575.84,1575.84
02/17/21,1595.29,1595.29,1595.29,1595.29
02/16/21,1606.14,1606.14,1606.14,1606.14
02/15/21,1608.07,1608.07,1608.07,1608.07
2/11/2021,1599.42,1599.42,1599.42,1599.42
2/10/2021,1596.85,1596.85,1596.85,1596.85
2/9/2021,1586.13,1586.13,1586.13,1586.13
2/8/2021,1573.33,1573.33,1573.33,1573.33
2/5/2021,1578.63,1578.63,1578.63,1578.63
2/4/2021,1584.9,1584.9,1584.9,1584.9
2/3/2021,1582.99,1582.99,1582.99,1582.99
2/2/2021,1580.49,1580.49,1580.49,1580.49
01/29/21,1566.4,1566.4,1566.4,1566.4
01/27/21,1580.62,1580.62,1580.62,1580.62
01/26/21,1575.31,1575.31,1575.31,1575.31
01/25/21,1576.62,1576.62,1576.62,1576.62
01/22/21,1596.74,1596.74,1596.74,1596.74
01/21/21,1594.8,1594.8,1594.8,1594.8
01/20/21,1601.54,1601.54,1601.54,1601.54
01/19/21,1601.88,1601.88,1601.88,1601.88
01/18/21,1609.52,1609.52,1609.52,1609.52
01/15/21,1627.01,1627.01,1627.01,1627.01
01/14/21,1635.71,1635.71,1635.71,1635.71
01/13/21,1636.69,1636.69,1636.69,1636.69
1/12/2021,1612.04,1612.04,1612.04,1612.04
1/11/2021,1617.25,1617.25,1617.25,1617.25
1/8/2021,1633.19,1633.19,1633.19,1633.19
1/7/2021,1602.95,1602.95,1602.95,1602.95
1/6/2021,1591.97,1591.97,1591.97,1591.97
